,mass_1,mass_2,dec,ra,time_jitter,phase,geocent_time,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,theta_jn,psi,luminosity_distance,log_likelihood,log_prior,reference_frequency,waveform_approximant,minimum_frequency,H1_log_likelihood,L1_log_likelihood,V1_log_likelihood,H1_matched_filter_snr,H1_optimal_snr,L1_matched_filter_snr,L1_optimal_snr,V1_matched_filter_snr,V1_optimal_snr,chirp_mass,total_mass,symmetric_mass_ratio,mass_ratio,iota,spin_1x,spin_1y,spin_1z,spin_2x,spin_2y,spin_2z,phi_1,phi_2,chi_eff,chi_1_in_plane,chi_2_in_plane,chi_p,cos_tilt_1,cos_tilt_2,redshift,comoving_distance,mass_1_source,mass_2_source,chirp_mass_source,total_mass_source
10,22.160466008004853,42.55523185479575,-1.1886357174534772,1.3946718015442965,-0.00020337909948834232,1.3,1126259642.4118927,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,571.1293037036921,-2.6951750704900723,100.0,IMRPhenomPv2,20.0,257.8903615598146,154.64929821849273,146.55929231586995,(22.99072820793272-1.7021978172619088j),22.326689106589694,(17.914264698544986-2.5217691931718558j),18.151241880485852,(17.474007429543814+0.07747140223268012j),17.94935490213719,26.45557359961981,64.7156978628006,0.22517106004490195,1.9203220654034916,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,18.77913729257575,36.0619917121748,22.418880929744123,54.84112900475055
11,22.698581565783385,42.40064605946503,-1.2257492607083476,1.3717625274933936,5.275515783644886e-05,1.3,1126259642.4111776,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,571.3927494862265,-2.7927967337998387,100.0,IMRPhenomPv2,20.0,257.1420132006032,158.22517673498243,143.99520215122183,(22.940088175014452-1.2155254927976362j),22.77974224541154,(18.136969952768844+0.4530582056115977j),18.41621859693299,(17.36099579005942+0.7975747619063039j),18.583917899525478,26.748999868510527,65.09922762524842,0.22710124820700628,1.8679865936372522,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,19.23514511908733,35.930993209122164,22.667535095534525,55.16613832820949
12,22.21939396584751,42.32946251139621,-1.1984064788511801,1.3769149201758482,0.00014650179440262436,1.3,1126259642.411705,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,571.4433590406016,-2.719834172574976,100.0,IMRPhenomPv2,20.0,261.5295022417282,157.02085224611164,140.8637706249521,(23.191152953117335+0.09547887804397766j),22.302369241720186,(18.06487048376091-0.22407473742966025j),18.12238014603685,(17.249065060913335+2.620694841710953j),18.114202591359103,26.426963655114584,64.54885647724372,0.22573445752665144,1.905068273979886,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,18.82907379708331,35.8706711192494,22.394636400066698,54.69974491633271
13,22.22281418092769,42.36279115440128,-1.1663522199637475,1.4027224432081287,6.280468638706515e-05,1.3,1126259642.4121127,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,571.4538778460363,-2.64145447236968,100.0,IMRPhenomPv2,20.0,259.9075766937541,154.66441894297978,144.85226171372616,(23.13217822676804-0.506936187347856j),22.201911147986998,(17.812937624983554-2.9599737404553834j),18.124552209106042,(17.39713024784804+1.1245264732150693j),17.719543530889432,26.43887831873629,64.58560533532896,0.22568991489532989,1.9062748223291335,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,18.831972142656802,35.89891435035029,22.404733078713534,54.73088649300709
14,42.15497834512888,22.642651007604027,-1.219567060905992,1.3712541762737236,1.851008284114769e-05,1.3,1126259642.4110994,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,571.5236375167739,-2.775761660426965,100.0,IMRPhenomPv2,20.0,259.9871124325087,158.7023512385691,140.80381361352488,(22.999063627177147-1.0469958422168455j),22.66204343422431,(18.15154733660051+0.34743231641557365j),18.34330856740821,(17.16123793989282+0.895093982031437j),18.4913709959006,26.641204887386216,64.79762935273291,0.22733060550607356,0.5371287543365668,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,35.72281041485216,19.18774865953088,22.576187885180158,54.91055907438304
15,42.21954426235517,22.511250892464716,-1.2280871615427937,1.3586071688255024,-2.772936930775413e-05,1.3,1126259642.411154,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,571.5835483506033,-2.799325271137227,100.0,IMRPhenomPv2,20.0,260.3795185219984,157.79393487930167,141.3797352675667,(23.118665032910766+0.21166056260987506j),22.599700401931667,(18.04979668110764+2.0019378376913988j),18.278468794165146,(17.169994375912502+2.6700284648251076j),18.556134522865673,26.578209060755437,64.73079515481989,0.22682519110285465,0.5331950234369713,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,35.77752461732315,19.076398076850438,22.522804202872603,54.85392269417359
16,22.438204150800978,42.29030931515006,-1.1861613421232704,1.407090445317962,6.632602055410249e-05,1.3,1126259642.411765,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,571.631594375407,-2.6890406075079296,100.0,IMRPhenomPv2,20.0,261.3475663017687,156.16001127883285,142.09459169106154,(23.112729807576365+0.2131124631351782j),22.507074767040923,(18.10486470628255-1.305848899876384j),18.285435337568014,(17.347112042253446+0.07658541838319853j),17.982482245222407,26.55328442106201,64.72851346595104,0.22648408528554792,1.8847457234513316,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,19.01449708659224,35.83749206753253,22.501682660094495,54.85198915412477
17,42.261917753661905,22.634011767770776,-1.2268907194063847,1.3834501800996835,-5.6898859454522114e-05,1.3,1126259642.4110913,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,571.6414799690737,-2.7959782251333563,100.0,IMRPhenomPv2,20.0,259.95433059104846,159.12519383758067,140.53175190768079,(23.07376135278485-0.7268369443415647j),22.81601522094248,(18.16580335058069+0.8380283710273145j),18.42684231226058,(17.214382336367162-0.4481067021251264j),18.51222242104222,26.66753975804843,64.89592952143268,0.2271306915404015,0.5355651842327858,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,35.81343259915564,19.180427627975245,22.59850448048864,54.99386022713089
18,22.59186672786401,42.17395590482981,-1.1958659033315433,1.4064021889105014,1.6117246088641823e-05,1.3,1126259642.411544,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,571.6444092704013,-2.7133544075796,100.0,IMRPhenomPv2,20.0,257.83523705928224,158.69662619444262,143.08218817968697,(23.1148062327692+0.7828519651789559j),22.65476201082463,(18.171292629614616-0.23316573515373815j),18.37030979744207,(17.22107985432448-0.014090109274379784j),18.13268269345165,26.615136446901488,64.76582263269381,0.22714578627722534,1.866776057633783,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,19.144713239553795,35.73889230586352,22.55409706711301,54.88360554541731
19,22.27430567568158,42.51619146437955,-1.2039219811497828,1.369851840665951,0.00010369346656011468,1.3,1126259642.4117115,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,571.6623933937216,-2.7340702086720894,100.0,IMRPhenomPv2,20.0,259.80729507262475,157.48239794962967,142.3445802633455,(23.079229350303958-0.7566196875918848j),22.354193607345582,(18.090474686232987-0.5291720450228814j),18.15365994355253,(17.25207954198055+2.7799561786853886j),18.226684151407508,26.516295806317338,64.79049714006113,0.22559834266117004,1.9087549611388095,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,18.875606868074307,36.02890825394262,22.47033790974938,54.90451512201693
